,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,Prediction,breed,favorite_count,retweet_count,url
46,883117836046086144,2017-07-07 16:22:55,https://twitter.com/dog_rates/status/883360690899218434/photo/1,13,10,Grizzwald,floofer,https://pbs.twimg.com/media/CUD3A7YWoAA82N0.jpg,1.0,dog,English setter,32484.0,5526.0,https://t.co/Se5fZ9wp5E
49,882627270321602560,2017-07-06 00:46:41,https://twitter.com/dog_rates/status/882762694511734784/photo/1,12,10,Gus,pupper,https://pbs.twimg.com/media/CUES51dXIAEahyG.jpg,1.0,mixed,Airedale,24562.0,5056.0,https://t.co/KoU1kxPBcn
92,874057562936811520,2017-06-12 16:06:11,https://twitter.com/dog_rates/status/874296783580663808/photo/1,13,10,Jed,pupper,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,1.0,mixed,toy poodle,20095.0,3374.0,https://t.co/0MXV9ZDhS5
108,870804317367881728,2017-06-04 23:56:03,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",12,10,Napolean,doggo,https://pbs.twimg.com/media/CUTILFiWcAE8Rle.jpg,1.0,mixed,miniature pinscher,29775.0,5278.0,https://t.co/oZ7H2eO79W
121,868552278524837888,2017-05-30 16:49:31,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",12,10,Scout,doggo,https://pbs.twimg.com/media/CUXw3qHWoAAk8HJ.jpg,1.0,dog,Labrador retriever,8960.0,1750.0,https://t.co/0xI8JbHfLa
135,864873206498414592,2017-05-22 00:28:40,"https://twitter.com/dog_rates/status/866450705531457537/photo/1,https://twitter.com/dog_rates/status/866450705531457537/photo/1",13,10,Jamesy,pupper,https://pbs.twimg.com/media/CUb6ebKWcAAJkd0.jpg,1.0,dog,Staffordshire bullterrier,28836.0,7491.0,https://t.co/0ryaeQJlsv
220,847971574464610304,2017-04-06 16:18:05,"https://twitter.com/dog_rates/status/850019790995546112/photo/1,https://twitter.com/dog_rates/status/850019790995546112/photo/1,https://twitter.com/dog_rates/status/850019790995546112/photo/1",12,10,Boomer,pupper,https://pbs.twimg.com/media/CUygHhFXAAAwNXv.jpg,1.0,dog,German short-haired pointer,0.0,396.0,https://t.co/0bYtoL7Wwt
240,844973813909606400,2017-03-28 00:07:32,"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1",13,10,Barney,doggo,https://pbs.twimg.com/media/CU3jwAYWwAAhdAv.jpg,1.0,dog,Sussex spaniel,13940.0,2855.0,https://t.co/7TWoMa3h5W
249,842535590457499648,2017-03-24 16:10:40,https://twitter.com/dog_rates/status/845306882940190720/photo/1,12,10,Pickles,pupper,https://pbs.twimg.com/media/CU67jGSUkAAk_1Y.jpg,1.0,dog,Ibizan hound,16923.0,3183.0,https://t.co/Tf0rh9ZgZe
304,834458053273591808,2017-02-28 01:00:19,https://twitter.com/dog_rates/status/836380477523124226/photo/1,12,10,Ava,pupper,https://pbs.twimg.com/media/CVG2l9jUYAAwg-w.jpg,1.0,dog,Lakeland terrier,9032.0,1549.0,https://t.co/1lT32uIJi6
344,829861396166877184,2017-02-16 01:04:13,"https://www.petfinder.com/petdetail/34918210,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1",12,10,Miguel,doggo,https://pbs.twimg.com/media/CVRfyZxWUAAFIQR.jpg,1.0,dog,Irish terrier,11519.0,1793.0,https://t.co/xeudgDXmTU
345,829501995190984704,2017-02-15 18:54:34,https://twitter.com/dog_rates/status/831939777352105988/photo/1,12,10,Emanuel,doggo,https://pbs.twimg.com/media/CVRkLuJWUAAhhYp.jpg,2.0,mixed,pug,29884.0,9770.0,https://t.co/hzjGiTmhgj
363,827600520311402496,2017-02-08 17:00:26,"https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1",13,10,Astrid,doggo,https://pbs.twimg.com/media/CVaKn75XAAEU09u.jpg,1.0,dog,Chihuahua,7052.0,864.0,https://t.co/Fx3mpICbFz
378,825147591692263424,2017-02-04 17:34:40,"https://twitter.com/dog_rates/status/827933404142436356/photo/1,https://twitter.com/dog_rates/status/827933404142436356/photo/1,https://twitter.com/dog_rates/status/827933404142436356/photo/1",12,10,Kona,pupper,https://pbs.twimg.com/media/CVfU7KLXAAAAgIa.jpg,1.0,mixed,Airedale,17248.0,4179.0,https://t.co/AyBEmx56MD
384,824325613288833024,2017-02-02 01:01:21,https://twitter.com/dog_rates/status/826958653328592898/photo/1,12,10,Loki,doggo,https://pbs.twimg.com/media/CVgyFSyU4AA9p1e.jpg,1.0,dog,Chihuahua,11168.0,9875.0,https://t.co/wBmc7OaGvS
389,823699002998870016,2017-01-31 17:06:32,https://twitter.com/dog_rates/status/826476773533745153/photo/1,12,10,Pilot,doggo,https://pbs.twimg.com/media/CVhBLohWEAAXtYl.jpg,1.0,dog,English setter,13207.0,2332.0,https://t.co/RsMs6iThDO
398,822610361945911296,2017-01-27 17:04:02,"https://www.gofundme.com/my-puppys-double-cataract-surgery,https://twitter.com/dog_rates/status/825026590719483904/photo/1,https://twitter.com/dog_rates/status/825026590719483904/photo/1",12,10,Pablo,puppo,https://pbs.twimg.com/media/CVlkid8WoAAqDlB.jpg,1.0,mixed,Samoyed,13951.0,2729.0,https://t.co/irJJJr0gHz
418,820314633777061888,2017-01-20 15:17:01,"https://twitter.com/dog_rates/status/822462944365645825/photo/1,https://twitter.com/dog_rates/status/822462944365645825/photo/1,https://twitter.com/dog_rates/status/822462944365645825/photo/1,https://twitter.com/dog_rates/status/822462944365645825/photo/1",14,10,Gabe,pupper,https://pbs.twimg.com/media/CVqoPslWEAEk7EC.jpg,1.0,dog,toy poodle,3157.0,522.0,https://t.co/mtNwAQQEQ4
449,817120970343411712,2017-01-11 02:15:36,"https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1",14,10,Bo,doggo,https://pbs.twimg.com/media/CV0l10AU8AAfg-a.jpg,1.0,dog,Pomeranian,11540.0,2411.0,https://t.co/kCLgD8687T
483,813096984823349248,2016-12-31 00:08:17,https://twitter.com/dog_rates/status/814986499976527872/photo/1,11,10,Cooper,pupper,https://pbs.twimg.com/media/CV-ef64WoAAbh0I.jpg,1.0,dog,Labrador retriever,10021.0,3382.0,https://t.co/soNL00XWVu
489,812503143955202048,2016-12-28 00:52:25,https://twitter.com/dog_rates/status/813910438903693312/photo/1,11,10,Chubbs,doggo,https://pbs.twimg.com/media/CV_wCh8W4AEWWZ9.jpg,1.0,dog,cocker spaniel,5741.0,1148.0,https://t.co/MCFrxiC7NZ
515,807106840509214720,2016-12-21 01:44:13,https://twitter.com/dog_rates/status/811386762094317568/photo/1,11,10,Craig,pupper,https://pbs.twimg.com/media/CWKSIfUUYAAiOBO.jpg,1.0,mixed,toy poodle,111557.0,51591.0,https://t.co/DkBYaCAg2d
587,798209839306514432,2016-11-18 23:35:32,"https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1,https://twitter.com/dog_rates/status/799757965289017345/photo/1",13,10,Sobe,doggo,https://pbs.twimg.com/media/CWyD2HGUYAQ1Xa7.jpg,2.0,mixed,schipperke,9929.0,2421.0,https://t.co/jG1PAFkB81
631,792773781206999040,2016-11-03 15:51:10,"https://twitter.com/dog_rates/status/794205286408003585/photo/1,https://twitter.com/dog_rates/status/794205286408003585/photo/1,https://twitter.com/dog_rates/status/794205286408003585/photo/1",14,10,Laika,pupper,https://pbs.twimg.com/media/CXMvio7WQAAPZJj.jpg,1.0,dog,soft-coated wheaten terrier,6995.0,1570.0,https://t.co/RhaPExuxJL
663,788412144018661376,2016-10-25 16:00:09,https://twitter.com/dog_rates/status/790946055508652032/photo/1,12,10,Betty,puppo,https://pbs.twimg.com/media/CXlN1-EWMAQdwXK.jpg,1.0,dog,beagle,14710.0,4922.0,https://t.co/4DhSsC1W7S
672,787111942498508800,2016-10-22 18:57:48,https://vine.co/v/5wPT1aBxPQZ,13,10,Ralphy,pupper,https://pbs.twimg.com/media/CXsChyjW8AQJ16C.jpg,1.0,dog,Leonberg,0.0,6294.0,https://t.co/v5m2bIukXc
689,785170936622350336,2016-10-16 18:11:26,"https://twitter.com/dog_rates/status/787717603741622272/photo/1,https://twitter.com/dog_rates/status/787717603741622272/photo/1,https://twitter.com/dog_rates/status/787717603741622272/photo/1,https://twitter.com/dog_rates/status/787717603741622272/photo/1",13,10,Tonks,puppo,https://pbs.twimg.com/media/CX66EiJWkAAVjA-.jpg,1.0,dog,kelpie,11367.0,4494.0,https://t.co/rKCJnWRpR2
724,780192070812196864,2016-10-03 01:00:34,https://twitter.com/dog_rates/status/782747134529531904/photo/1,11,10,Deacon,doggo,https://pbs.twimg.com/media/CYVIToGWQAAEZ_y.jpg,1.0,dog,Great Dane,8204.0,2086.0,https://t.co/zHIqpM5Gni
731,778990705243029504,2016-09-30 00:41:48,https://vine.co/v/5rt6T3qm7hL,11,10,Combo,doggo,https://pbs.twimg.com/media/CYeWlh0WAAADhsj.jpg,1.0,dog,Norwich terrier,18739.0,6649.0,https://t.co/vyx1X5eyWI
780,772193107915964416,2016-09-13 16:30:07,https://twitter.com/dog_rates/status/775733305207554048/photo/1,11,10,Anakin,doggo,https://pbs.twimg.com/media/CZNK7NpWwAEAqUh.jpg,1.0,mixed,Labrador retriever,5676.0,1289.0,https://t.co/Dp0s7MRIHK
